"","Age","Years.of.Experience","Number.of.Vehicles","Gender","Married","Losses.in.Thousands"
"1981",62,44,"1","F","Single",54.94484401
"1384",50,30,"1","F","Single",396.6472629
"12247",52,35,"3","M","Married",599.5536436
"11005",38,17,"3","F","Single",788.7316684
"5408",46,26,"2","F","Single",485.6433513
"14135",20,3,"4","M","Single",1848.845387
"9400",29,8,"3","F","Single",550.4771397
"2071",58,39,"1","F","Married",388.37178
"13874",23,5,"4","M","Single",472.2269678
"2363",55,37,"1","F","Married",309.2396041
"12302",47,27,"3","M","Single",532.1506147
"1552",19,2,"1","M","Married",502.1504835
"12425",44,26,"3","M","Married",467.2539355
"7197",16,0,"2","M","Married",282.1225824
"14206",21,3,"4","M","Married",302.910467
"7705",63,46,"3","F","Married",138.959039
"7609",23,6,"2","F","Married",101.0070034
"6958",69,52,"2","F","Single",448.4012457
"9854",16,0,"3","M","Married",270.8012465
"14930",63,45,"4","M","Married",342.7440086
"11819",61,42,"3","F","Single",44.34005249
"399",17,0,"1","M","Single",841.6097425
"1693",63,46,"1","M","Single",377.8277597
"7551",19,1,"2","M","Married",445.4787861
"7957",64,47,"3","M","Single",109.9055963
"3773",32,13,"2","M","Single",529.4510662
"5206",61,42,"2","M","Married",276.0410019
"254",25,8,"1","M","Married",409.9010323
"9124",65,47,"3","F","Married",126.3508732
"7013",20,2,"2","M","Single",747.1602793
"12555",18,0,"3","F","Single",306.2860105
"12575",48,29,"3","M","Married",376.8821343
"11982",64,45,"3","M","Single",427.0756419
"3649",41,21,"2","M","Single",166.691093
"8336",19,0,"3","M","Married",367.4541349
"14760",17,0,"4","M","Married",197.5427324
"821",57,39,"1","M","Married",693.878229
"4493",41,23,"2","F","Single",316.6019221
"2142",61,42,"1","F","Single",203.2806148
"6996",67,48,"2","M","Single",196.8111414
"6673",22,4,"2","M","Single",556.8383931
"4486",69,49,"2","F","Single",159.6179518
"1596",27,8,"1","F","Married",550.1011897
"1974",46,29,"1","M","Single",576.0714176
"4564",70,52,"2","M","Single",350.0212837
"11386",68,47,"3","F","Married",291.4284143
"615",29,8,"1","F","Single",603.1089156
"14460",65,47,"4","F","Married",90.23492874
"9471",69,51,"3","M","Single",321.0702282
"3277",21,2,"2","F","Married",431.9004518
"10321",49,31,"3","F","Single",496.0153048
"13244",61,43,"4","F","Married",138.0732638
"9159",24,7,"3","F","Single",534.2235319
"11859",20,2,"3","M","Married",736.8606984
"9922",22,5,"3","F","Single",622.2000691
"8086",70,49,"3","M","Single",99.22745932
"7357",36,17,"2","F","Married",320.8155551
"9873",62,42,"3","F","Married",274.644567
"14017",39,22,"4","F","Married",238.9538651
"7205",23,4,"2","F","Married",263.9431562
"7971",41,23,"3","M","Married",369.2072341
"1215",23,5,"1","F","Single",697.6382677
"11161",65,46,"3","F","Single",137.9224414
"3996",30,12,"2","F","Single",501.1905383
"5372",16,0,"2","M","Married",428.3233658
"10176",32,12,"3","M","Single",425.0750354
"10155",16,0,"3","F","Married",486.6290318
"13847",52,34,"4","M","Married",330.9141175
"15007",34,16,"4","M","Married",381.9658381
"5698",28,8,"2","F","Married",320.3349091
"7221",69,52,"2","M","Married",199.9784707
"9173",35,17,"3","F","Single",648.2237088
"5961",58,41,"2","M","Single",510.2294704
"1010",22,4,"1","F","Married",318.7108563
"10759",32,15,"3","M","Married",137.9323284
"8935",25,6,"3","M","Married",398.8105861
"4202",51,31,"2","F","Single",392.9302356
"2083",48,30,"1","F","Married",124.6556691
"2764",22,3,"2","F","Single",355.9348674
"13017",26,9,"4","F","Married",570.5741831
"5653",26,7,"2","M","Single",523.5247446
"6316",45,26,"2","F","Single",394.9737061
"6225",64,43,"2","M","Single",96.06678677
"13786",17,0,"4","M","Married",263.5806493
"4559",63,45,"2","M","Married",337.1433254
"2540",55,38,"2","M","Single",274.3548628
"5478",52,32,"2","M","Married",433.9690892
"711",24,7,"1","F","Married",458.1587158
"7048",23,4,"2","F","Married",265.5556163
"7848",18,0,"3","M","Married",638.7920458
"2338",31,12,"1","M","Single",482.2712561
"2028",21,2,"1","F","Married",378.441003
"9322",18,0,"3","F","Single",194.3768974
"3117",23,6,"2","M","Married",669.3993572
"10530",24,5,"3","F","Married",341.551092
"7786",50,33,"3","F","Married",189.5383761
"13575",61,42,"4","F","Married",75.79561871
"8026",63,42,"3","F","Single",112.5311831
"3467",19,2,"2","M","Single",431.9491025
"4007",18,1,"2","F","Single",599.5107367
"13456",31,10,"4","M","Single",909.6147219
"9549",16,0,"3","M","Single",612.9537999
"11748",21,3,"3","F","Single",360.4024528
"3679",59,41,"2","M","Single",449.1829468
"8648",16,0,"3","F","Single",733.0239691
"14636",61,42,"4","F","Married",300.4728614
"8339",66,47,"3","M","Married",77.83166638
"5675",22,5,"2","M","Married",404.4555197
"1167",69,51,"1","M","Married",204.8013733
"13185",21,2,"4","M","Single",577.3659621
"1417",18,0,"1","F","Married",291.0696945
"8847",18,0,"3","M","Married",361.4742935
"5898",70,49,"2","M","Single",63.81299519
"5940",24,6,"2","M","Married",334.8767772
"14099",54,33,"4","M","Single",812.388498
"15100",21,3,"4","F","Married",305.521177
"12065",61,41,"3","F","Married",308.8055458
"9080",41,24,"3","F","Married",359.884876
"8448",68,51,"3","F","Married",173.74814
"4443",70,50,"2","F","Single",390.0849495
"1774",22,3,"1","F","Married",195.4700505
"1009",70,49,"1","M","Married",365.7364661
"606",57,36,"1","F","Single",861.7717368
"236",27,8,"1","F","Single",355.8158451
"7380",61,44,"2","F","Single",446.9026627
"1971",28,9,"1","M","Married",570.3726954
"8475",46,27,"3","M","Married",156.0179153
"12950",22,3,"4","M","Married",303.4177109
"14266",16,0,"4","F","Single",378.2856373
"10166",35,14,"3","F","Single",268.6189791
"11230",23,5,"3","F","Married",192.0896525
"14287",25,7,"4","M","Single",3227
"10016",53,32,"3","F","Single",138.2480792
"9007",18,0,"3","M","Single",531.0883406
"12377",33,14,"3","M","Single",426.2252706
"13114",59,41,"4","M","Married",391.0937662
"14809",61,42,"4","F","Single",150.5963101
"1036",61,44,"1","M","Single",328.9980029
"7542",70,52,"2","M","Single",44.22971624
"14886",46,25,"4","M","Single",178.9685786
"9387",22,3,"3","M","Married",229.0209616
"6691",30,10,"2","F","Single",492.7189607
"1653",24,7,"1","F","Single",518.0476289
"5040",70,52,"2","F","Single",280.5897624
"4624",33,12,"2","F","Single",237.228971
"1654",70,49,"1","F","Married",234.6474302
"8851",19,1,"3","M","Single",567.8291037
"3062",65,48,"2","F","Single",218.0505222
"6754",45,27,"2","F","Single",411.8218575
"5111",63,45,"2","M","Married",276.2114965
"6012",49,32,"2","F","Single",623.50911
"14128",47,30,"4","F","Married",115.1744809
"1126",48,30,"1","F","Single",340.8082596
"11732",60,43,"3","M","Married",217.6535603
"1724",67,50,"1","M","Single",219.2630685
"14808",47,27,"4","F","Married",434.8229191
"14872",36,15,"4","F","Single",415.0757374
"6079",18,0,"2","M","Married",319.8078097
"14010",51,33,"4","F","Single",442.088138
"3184",46,25,"2","M","Married",126.4813408
"114",63,45,"1","F","Married",60.82862632
"3140",21,2,"2","F","Married",546.7752557
"14061",62,43,"4","F","Single",216.1005343
"772",38,19,"1","F","Married",310.9397719
"10337",28,11,"3","M","Single",452.9193311
"12659",69,48,"3","F","Single",74.58336239
"5500",40,23,"2","M","Single",452.0526951
"14515",68,51,"4","F","Married",97.82043236
"4947",67,48,"2","F","Married",29.94505399
"2431",20,2,"1","F","Single",369.2310887
"3973",45,27,"2","M","Single",521.4135648
"4262",43,23,"2","F","Single",340.2184013
"7056",30,9,"2","F","Single",272.3988253
"1468",70,53,"1","F","Married",237.9571792
"5855",55,34,"2","F","Single",340.6756615
"12648",22,5,"3","M","Single",986.7371392
"8524",67,48,"3","M","Single",412.6374818
"13762",69,48,"4","F","Single",140.8914396
"2133",70,51,"1","F","Single",248.5762478
"5824",25,7,"2","F","Single",638.02869
"12975",60,40,"4","F","Married",225.9448107
"1398",69,48,"1","M","Married",230.5859594
"10646",47,26,"3","F","Married",600.4432552
"13429",45,24,"4","F","Married",316.6639021
"10057",63,44,"3","F","Married",165.2589847
"11470",20,1,"3","M","Married",251.9960488
"19",67,49,"1","M","Single",593.4274113
"8157",30,9,"3","F","Single",708.2050607
"10601",20,3,"3","M","Single",589.1073039
"4344",19,1,"2","F","Single",246.9395067
"34",64,47,"1","M","Married",109.0263426
"13168",31,11,"4","F","Married",340.3491803
"3430",19,2,"2","M","Married",392.2846806
"8725",35,16,"3","M","Married",372.5237849
"3875",64,43,"2","F","Married",429.4798613
"8329",60,43,"3","M","Single",297.5778166
"11179",68,49,"3","F","Single",292.7373979
"11359",63,45,"3","M","Married",52.84267257
"8155",44,26,"3","M","Single",432.3500041
"12321",57,40,"3","F","Single",471.9466109
"2546",31,11,"2","F","Married",612.0679151
"1637",34,13,"1","M","Single",449.6680037
"9380",70,52,"3","F","Married",179.9030368
"5705",32,12,"2","F","Single",435.997452
"9572",22,4,"3","F","Single",367.2309591
"5862",48,29,"2","M","Married",348.3139311
"3527",18,0,"2","M","Single",702.6961237
"7059",60,41,"2","F","Married",311.4301899
"9225",51,30,"3","F","Married",310.2260018
"11825",45,28,"3","F","Single",428.5178983
"4263",68,50,"2","M","Single",509.8965713
"10835",18,0,"3","M","Married",268.1598164
"15039",33,16,"4","F","Single",345.7442022
"4818",61,44,"2","M","Single",182.8579739
"2519",62,41,"1","F","Single",361.8315328
"7303",38,21,"2","F","Married",391.6733379
"4391",70,52,"2","M","Single",228.1268705
"7274",29,8,"2","F","Married",533.3330744
"10014",32,11,"3","F","Single",478.6572702
"12047",70,49,"3","M","Married",120.1212386
"6522",67,49,"2","F","Married",183.2906958
"7871",64,46,"3","M","Married",73.38371864
"7241",20,1,"2","M","Single",3462
"8422",42,22,"3","M","Single",439.3203039
"9300",65,48,"3","F","Single",304.9781505
"10335",59,38,"3","M","Single",462.7667653
"13587",66,48,"4","F","Single",38.02391143
"8228",22,5,"3","F","Single",587.0766576
"14331",24,5,"4","M","Single",987.0121712
"809",63,42,"1","M","Married",581.0593991
"4937",57,39,"2","M","Single",412.1684969
"1587",22,4,"1","M","Single",485.4291054
"12134",63,43,"3","M","Married",279.283507
"590",34,16,"1","F","Single",229.5774269
"7754",68,50,"3","F","Single",219.1549893
"24",66,49,"1","F","Single",273.1567349
"919",46,25,"1","M","Married",390.0515833
"15223",65,46,"4","F","Married",142.5694647
"10252",68,48,"3","F","Married",201.5175786
"3270",43,26,"2","F","Single",325.7362074
"11306",46,26,"3","F","Single",399.1592176
"6876",41,23,"2","M","Single",491.0277254
"6441",40,20,"2","M","Married",338.1253431
"9270",64,43,"3","F","Single",111.2749942
"8219",48,31,"3","F","Married",300.5180508
"11054",29,11,"3","F","Single",426.3416661
"14065",50,33,"4","M","Single",437.7636042
"15046",53,35,"4","F","Single",346.4233164
"4479",24,7,"2","F","Married",256.3592184
"14885",62,42,"4","M","Married",422.8597577
"7828",28,10,"3","F","Single",382.6058803
"14301",63,42,"4","M","Single",349.9552586
"4865",32,12,"2","M","Single",484.183253
"11339",16,0,"3","F","Single",445.5253649
"4765",67,48,"2","F","Single",23.17656269
"8064",42,25,"3","F","Single",409.0904312
"2713",33,15,"2","F","Married",288.4368473
"7430",36,19,"2","F","Married",361.4984098
"8179",66,47,"3","F","Single",114.4684687
"4060",16,0,"2","F","Single",520.8966399
"11371",70,50,"3","M","Single",57.68439327
"1164",63,46,"1","M","Married",99.59866543
"12435",66,46,"3","M","Single",278.672627
"7735",28,11,"3","M","Single",400.6639675
"5435",50,29,"2","F","Single",457.8160532
"11006",35,16,"3","M","Married",139.4895176
"14578",68,47,"4","M","Married",454.0613287
"12242",27,10,"3","F","Single",390.9353302
"13130",25,7,"4","F","Single",389.0232199
"4549",16,0,"2","F","Single",863.5664988
"3300",21,4,"2","M","Married",243.1086631
"14403",59,42,"4","M","Single",384.7952953
"3122",69,51,"2","F","Single",306.9941545
"1260",44,26,"1","M","Single",516.6473229
"2920",16,0,"2","M","Married",668.7291417
"2890",48,30,"2","F","Married",237.1254764
"3568",31,11,"2","M","Married",366.4905058
"193",58,39,"1","M","Single",818.0944497
"11183",19,0,"3","M","Single",716.0003598
"4687",16,0,"2","M","Single",1248.405899
"6301",69,51,"2","F","Married",41.06894118
"1100",25,6,"1","M","Single",512.9049801
"13372",23,6,"4","F","Single",279.1963188
"1935",44,23,"1","M","Married",331.5437249
"329",51,32,"1","M","Single",445.3525652
"12056",63,43,"3","M","Married",49.41264077
"5142",51,31,"2","M","Single",294.7696212
"8405",60,41,"3","M","Single",135.4107831
"5861",25,6,"2","M","Married",211.756897
"1151",40,22,"1","M","Married",159.4855752
"111",35,15,"1","M","Single",3332.771801
"11063",48,31,"3","M","Married",343.7715996
"10918",66,47,"3","M","Single",331.6892866
"5349",34,14,"2","F","Married",336.2421645
"5638",50,33,"2","F","Married",324.6840138
"9712",46,29,"3","M","Married",380.3607881
"11791",21,3,"3","F","Single",730.8661549
"231",18,0,"1","F","Married",250.2204478
"5836",26,8,"2","F","Single",411.7546684
"1095",40,23,"1","F","Married",197.7098654
"2752",24,5,"2","M","Married",321.9312326
"1465",54,36,"1","F","Single",516.7950519
"1600",45,26,"1","F","Married",171.7162674
"12942",63,42,"4","M","Married",139.1636665
"613",66,47,"1","M","Single",73.7182254
"7694",47,29,"3","F","Married",335.3199272
"13042",69,52,"4","F","Single",214.2633765
"13385",26,5,"4","M","Married",631.0840663
"559",51,33,"1","M","Single",422.0508228
"6100",16,0,"2","F","Married",406.556567
"2761",37,16,"2","M","Single",799.820527
"1881",59,42,"1","F","Single",369.5012883
"13514",61,43,"4","M","Married",190.573219
"6308",60,41,"2","F","Married",328.5159353
"10791",19,0,"3","F","Single",337.9628924
"6643",69,49,"2","M","Single",656.1977202
"9896",53,36,"3","M","Single",469.4146909
"5491",27,8,"2","F","Married",316.3652417
"2603",25,7,"2","M","Married",256.904249
"7757",20,2,"3","F","Married",266.7945785
"13424",61,42,"4","F","Married",231.1797507
"1423",18,1,"1","F","Married",839.6952451
"2508",23,4,"1","M","Single",615.2990801
"14199",61,42,"4","M","Married",361.5514503
"11931",40,22,"3","F","Married",302.787052
"13521",68,47,"4","M","Single",373.3520913
"13871",24,7,"4","F","Single",708.9236538
"13230",18,0,"4","F","Single",465.1659936
"8766",51,33,"3","M","Single",476.4370649
"203",19,0,"1","F","Single",484.6961144
"5598",20,3,"2","M","Married",502.4378501
"8303",25,7,"3","F","Single",425.4141837
"13221",58,39,"4","M","Married",262.1914364
"4935",24,6,"2","F","Single",402.7228306
"3045",22,5,"2","F","Single",500.6980582
"12618",32,14,"3","F","Married",506.6642713
"7284",19,1,"2","F","Married",137.4678068
"143",66,46,"1","F","Single",430.2457695
"4176",25,7,"2","F","Married",253.9624512
"4728",57,39,"2","F","Single",421.8803667
"1269",46,26,"1","M","Single",364.0410413
"14042",62,44,"4","M","Single",296.0247801
"1557",23,6,"1","M","Single",1079.526481
"13796",32,12,"4","F","Married",351.0086366
"12627",44,27,"3","F","Married",257.320812
"5441",27,7,"2","F","Married",153.7026157
"9241",66,49,"3","M","Single",192.9668642
"15126",49,29,"4","M","Single",692.9896657
"4424",30,12,"2","M","Single",349.1487161
"3072",23,5,"2","F","Single",628.1035152
"2336",39,22,"1","M","Single",275.4917981
"554",69,50,"1","M","Married",95.24364537
"13228",62,44,"4","F","Single",167.3491294
"14470",17,0,"4","M","Married",211.4928315
"11419",25,8,"3","M","Married",841.7800349
"12777",49,31,"3","M","Married",391.7092633
"2534",36,16,"2","M","Married",369.7343028
"14299",58,37,"4","M","Married",409.1785866
"14127",41,22,"4","F","Single",166.1953416
"6389",51,33,"2","F","Married",148.3842226
"6601",19,1,"2","M","Married",263.4730577
"1124",28,11,"1","M","Married",537.3045231
"5176",31,13,"2","M","Married",367.4895123
"495",30,12,"1","F","Married",308.5713815
"14757",66,47,"4","F","Married",124.7072547
"9918",70,53,"3","M","Single",215.3692714
"9456",42,25,"3","M","Married",461.6472663
"4943",70,51,"2","M","Married",122.6835746
"3835",47,29,"2","F","Single",376.5415728
"4045",49,30,"2","M","Single",262.8293092
"9769",21,2,"3","F","Single",467.6318976
"12240",22,5,"3","M","Married",600.3886553
"4329",24,5,"2","F","Single",294.5121624
"4986",25,8,"2","M","Married",971.6615958
"7755",49,28,"3","F","Married",626.3339813
"7628",65,44,"2","M","Married",211.6373126
"4890",36,17,"2","F","Single",368.6566367
"4269",40,23,"2","F","Single",666.9432518
"4172",36,15,"2","F","Married",315.4863007
"14638",20,3,"4","F","Single",396.1260471
"7166",38,18,"2","F","Married",144.07381
"14429",19,1,"4","F","Married",336.0323478
"5243",68,50,"2","M","Single",454.1709307
"14957",30,10,"4","F","Married",289.1312252
"10608",28,7,"3","M","Single",830.5209925
"2076",50,33,"1","F","Married",306.5442945
"15068",61,41,"4","M","Married",187.6599767
"8824",16,0,"3","M","Single",1154.366373
"3522",40,23,"2","F","Married",453.924572
"641",66,45,"1","F","Single",37.17363736
"6685",65,45,"2","F","Single",284.4893908
"7913",34,15,"3","M","Married",385.5605702
"5562",16,0,"2","M","Single",400.9965388
"5205",66,48,"2","M","Single",427.8914224
"7831",24,5,"3","M","Married",480.1355112
"9177",66,49,"3","M","Single",269.1243075
"8561",37,20,"3","F","Married",309.4043147
"5187",17,0,"2","F","Single",782.8205413
"8245",60,41,"3","M","Married",36.38635058
"10744",29,11,"3","M","Single",144.8065927
"3860",18,1,"2","F","Single",417.0831495
"4215",21,3,"2","F","Single",312.4802515
"953",64,44,"1","F","Married",221.2919568
"21",44,27,"1","F","Single",472.5998112
"4032",67,49,"2","M","Married",200.3566489
"1641",60,43,"1","M","Single",59.46503446
"9094",60,42,"3","F","Single",63.23567462
"6109",70,49,"2","F","Single",356.9909506
"4672",20,3,"2","F","Single",315.5982887
"5510",21,4,"2","M","Married",369.1190717
"526",70,52,"1","M","Married",162.5111147
"7792",63,42,"3","F","Single",226.3008659
"7119",16,0,"2","F","Single",481.335332
"14646",67,48,"4","M","Married",186.993559
"6317",21,4,"2","M","Single",302.257992
"6716",47,30,"2","F","Single",378.6471116
"14973",26,7,"4","F","Single",366.2268678
"5879",38,18,"2","F","Married",350.2369548
"2860",57,38,"2","F","Married",275.5481922
"9450",42,21,"3","M","Single",418.3983242
"11908",25,8,"3","F","Married",176.5082561
"9329",30,10,"3","F","Married",339.0187299
"8444",48,27,"3","M","Married",422.7622226
"12399",67,46,"3","M","Single",325.0100078
"4313",22,3,"2","M","Married",1193.282553
"5207",17,0,"2","M","Married",527.7419482
"5701",21,4,"2","M","Married",491.2875129
"754",52,33,"1","M","Married",561.5039553
"3296",46,27,"2","F","Married",526.5789001
"14594",25,6,"4","M","Married",448.9265704
"1008",27,6,"1","M","Single",466.0522963
"10090",19,1,"3","F","Single",165.5362405
"3532",16,0,"2","F","Married",448.1563944
"14725",65,45,"4","M","Married",332.9091596
"14382",53,33,"4","M","Married",514.2234708
"4223",63,44,"2","F","Single",359.1195409
"8227",20,1,"3","M","Married",528.2847155
"2520",20,2,"1","F","Married",459.488058
"8028",55,37,"3","F","Married",315.0349231
"886",46,28,"1","M","Married",630.5057856
"2186",25,8,"1","M","Single",2600
"11970",56,39,"3","F","Married",687.0747031
"466",31,14,"1","M","Single",405.4731829
"5625",55,35,"2","M","Single",408.31942
"10647",27,10,"3","F","Single",496.9909239
"14614",49,30,"4","F","Married",322.5905582
"8857",39,22,"3","M","Married",376.7639777
"4995",31,10,"2","F","Single",417.2227443
"1399",23,6,"1","F","Married",420.7564271
"3268",27,7,"2","M","Single",404.8344756
"11727",24,5,"3","M","Single",1168.957156
"14517",17,0,"4","F","Married",261.9462079
"7033",23,5,"2","M","Married",509.1251757
"4292",55,36,"2","F","Single",439.1418913
"1394",31,14,"1","F","Married",320.2231634
"9539",55,38,"3","F","Married",322.9303903
"2384",25,8,"1","F","Married",805.5978863
"11930",22,4,"3","F","Married",247.666634
"13670",63,43,"4","F","Married",110.7175798
"2559",40,22,"2","M","Married",391.9146906
"10181",45,28,"3","F","Married",310.257686
"7378",70,51,"2","F","Married",59.95154582
"6705",28,8,"2","M","Single",419.8749439
"2475",60,40,"1","F","Married",327.9731107
"12069",23,6,"3","M","Married",614.285921
"11648",57,36,"3","F","Married",446.5017736
"5575",65,44,"2","M","Single",267.2544801
"8027",60,40,"3","F","Single",148.1313416
"2795",34,13,"2","M","Married",340.8726681
"15078",32,13,"4","M","Single",425.0154124
"10499",19,1,"3","M","Married",593.9311115
"15155",69,48,"4","M","Married",167.0242795
"8693",36,15,"3","F","Married",319.5458609
"13766",62,42,"4","M","Married",312.3915256
"1172",51,33,"1","F","Single",294.0259335
"10564",60,40,"3","M","Single",157.9560016
"9704",25,8,"3","M","Married",453.7812962
"11195",68,47,"3","F","Single",371.3811134
"11506",69,51,"3","M","Married",341.3515381
"10937",47,30,"3","M","Single",402.3655839
"7502",51,30,"2","M","Married",390.3393024
"14961",51,32,"4","F","Single",446.3276583
"6812",20,1,"2","M","Single",1240.961967
"2641",17,0,"2","F","Single",330.4692588
"13787",25,7,"4","M","Married",895.8863582
"8626",50,32,"3","F","Single",262.2647694
"12136",20,2,"3","F","Married",233.8950101
"7952",26,5,"3","M","Married",355.149888
"12488",25,6,"3","F","Married",145.2109314
"14270",60,40,"4","F","Single",126.1104143
"6293",28,9,"2","F","Married",317.3020942
"2324",19,1,"1","M","Single",653.382622
"2525",46,25,"1","F","Married",306.682273
"12991",45,26,"4","F","Single",503.6657596
"8048",48,31,"3","M","Single",518.8537848
"264",34,14,"1","M","Single",762.0191521
"7744",41,24,"3","M","Single",415.2278726
"9203",22,5,"3","F","Single",575.2028406
"9154",66,49,"3","F","Single",122.2920575
"1225",34,14,"1","F","Single",405.1765298
"10005",24,6,"3","M","Married",651.1247737
"9326",38,21,"3","M","Married",359.1558898
"12918",31,12,"4","M","Married",337.2214808
"9108",45,24,"3","M","Married",411.7331993
"8534",16,0,"3","F","Single",676.7684721
"4500",56,38,"2","F","Single",419.3565651
"787",68,48,"1","M","Married",39.12363354
"8871",24,7,"3","M","Single",460.9530036
"12898",25,6,"4","F","Single",547.6141399
"2377",18,0,"1","M","Married",382.1035218
"10644",53,32,"3","F","Married",383.3544135
"13692",43,25,"4","M","Married",352.8938943
"2356",60,41,"1","M","Married",260.7493276
"910",62,44,"1","F","Married",544.9158279
"11363",18,0,"3","M","Married",298.2323025
"12016",29,11,"3","F","Married",355.727515
"1883",16,0,"1","M","Married",394.2908041
"5172",31,12,"2","F","Single",271.3698987
"3638",29,9,"2","F","Married",131.1032891
"8434",61,42,"3","F","Single",184.6753971
"4948",22,3,"2","F","Single",531.3287706
"2372",54,37,"1","M","Single",941.2388843
"2763",63,45,"2","F","Married",226.0781931
"12173",60,43,"3","F","Married",81.87050588
"10831",19,0,"3","F","Single",292.240232
"4150",48,28,"2","M","Single",514.9922298
"12031",63,45,"3","M","Married",63.91577391
"13076",61,43,"4","F","Married",60.11621977
"5190",35,15,"2","M","Single",278.9718352
"8595",70,50,"3","M","Single",693.584713
"3193",63,46,"2","M","Single",509.4245965
"13990",22,4,"4","M","Single",997.2445349
"13142",63,45,"4","F","Single",542.1535219
"10261",46,28,"3","M","Married",396.4231609
"11431",55,36,"3","F","Married",336.4670809
"13067",50,31,"4","F","Married",253.1904409
"90",25,8,"1","M","Married",525.0439169
"6041",38,19,"2","F","Single",503.8319877
"8878",68,51,"3","F","Single",659.7527272
"4556",55,36,"2","F","Single",394.2260359
"384",60,39,"1","F","Single",188.1206318
"4188",68,48,"2","M","Married",494.0108596
"3727",42,25,"2","M","Married",341.1715541
"4863",21,2,"2","M","Single",1238.855434
"1364",68,48,"1","F","Single",54.77794095
"4891",46,25,"2","F","Single",428.5202743
"2696",50,29,"2","F","Married",579.3465404
"4997",17,0,"2","M","Married",390.5690694
"10408",66,48,"3","M","Married",41.87528879
"5109",60,40,"2","M","Single",230.7395709
"7173",18,0,"2","M","Married",665.3737691
"591",65,44,"1","M","Single",183.8554703
"7027",22,5,"2","F","Married",205.7011349
"8143",50,32,"3","M","Single",446.8177939
"10483",70,50,"3","F","Single",250.8693099
"15256",20,2,"4","M","Married",320.2286573
"13119",68,50,"4","M","Single",154.1986373
"14163",66,49,"4","M","Single",244.1192847
"7491",66,45,"2","M","Married",93.98528936
"12959",48,30,"4","M","Single",412.9476089
"8204",23,5,"3","M","Married",543.1251437
"4328",64,46,"2","M","Single",98.82646966
"1683",37,20,"1","M","Single",143.4336905
"13860",64,45,"4","F","Married",38.5875034
"8408",65,45,"3","F","Married",120.0809037
"7951",64,44,"3","F","Married",83.60785695
"830",63,45,"1","M","Married",367.0996594
"721",53,34,"1","F","Married",503.0542024
"9761",18,1,"3","F","Married",300.9062125
"10525",47,28,"3","F","Single",453.4353813
"15175",22,4,"4","F","Married",281.1619271
"11787",25,8,"3","M","Married",151.5064785
"7915",60,40,"3","M","Married",253.5710605
"8662",44,25,"3","F","Single",529.9217527
"6355",43,26,"2","M","Married",372.5381172
"3947",17,0,"2","M","Single",625.5144383
"12716",43,22,"3","M","Single",666.3692559
"12478",54,35,"3","F","Married",587.5284398
"12782",35,17,"4","M","Married",259.7741753
"3443",30,11,"2","M","Single",448.1780055
"5021",51,33,"2","F","Single",419.7613
"8065",55,38,"3","M","Single",294.8744195
"9334",62,41,"3","F","Married",227.4959551
"5959",29,11,"2","F","Married",323.4860547
"8368",61,41,"3","F","Married",17.28856652
"11958",46,26,"3","M","Single",472.4845356
"2861",32,11,"2","F","Single",381.610363
"5167",19,1,"2","F","Married",247.4912291
"12170",34,17,"3","M","Single",507.4618644
"8812",69,51,"3","M","Single",189.9229735
"7245",32,14,"2","M","Single",242.76391
"3680",26,9,"2","F","Married",271.4612047
"10123",65,44,"3","F","Married",48.75805138
"3491",34,15,"2","M","Married",374.8912283
"10878",65,48,"3","F","Married",36.120624
"15131",35,15,"4","F","Single",331.6762154
"2712",49,30,"2","M","Married",323.7231033
"708",25,6,"1","F","Married",279.9889923
"13900",24,6,"4","F","Married",329.5041121
"43",58,39,"1","F","Single",381.7477309
"14654",31,11,"4","F","Single",218.2384338
"2841",21,3,"2","M","Married",807.7350617
"8297",37,18,"3","F","Single",162.4271008
"1190",53,32,"1","F","Married",359.4808954
"11538",19,2,"3","M","Married",690.6259334
"4453",42,23,"2","F","Single",341.5910745
"9715",28,8,"3","F","Single",327.6406969
"3220",57,38,"2","M","Single",289.5776329
"12027",62,41,"3","F","Married",127.7680796
"1333",25,7,"1","M","Single",1098.237869
"5011",30,13,"2","M","Married",298.9794918
"13623",67,47,"4","F","Single",431.625472
"8977",22,4,"3","M","Married",418.8913073
"3664",68,49,"2","M","Single",423.2962596
"15150",70,52,"4","M","Married",66.52075201
"4457",65,45,"2","F","Married",174.7134006
"11893",60,39,"3","F","Married",172.5732732
"519",38,21,"1","F","Single",837.4720719
"7101",46,25,"2","M","Married",336.5725933
"6717",62,43,"2","M","Married",305.2483756
"6720",23,6,"2","M","Married",638.5858885
"5060",35,16,"2","M","Married",349.9969519
"3777",58,40,"2","M","Single",593.7613643
"12236",62,44,"3","F","Single",238.0341751
"2580",20,1,"2","M","Single",545.648396
"4751",20,1,"2","F","Married",181.1133935
"3278",17,0,"2","M","Single",757.0065759
"2124",53,35,"1","F","Married",307.2012361
"10292",64,46,"3","M","Single",95.65189276
"10741",36,19,"3","M","Single",245.3059375
"4100",17,0,"2","M","Single",468.546896
"7111",70,52,"2","F","Single",20.06833059
"14352",22,3,"4","F","Married",386.1943007
"1362",28,11,"1","M","Single",450.9763993
"10807",67,50,"3","F","Single",27.26619006
"9871",54,36,"3","M","Married",401.8401494
"7666",30,11,"2","F","Single",436.3091977
"304",23,6,"1","F","Married",187.9585249
"9842",23,4,"3","F","Married",414.1243237
